id,usuario,fecha,contenido,likes,comentarios,compartidos,Texto_Procesado,Sentimiento
25,usuario25,2025-07-14,El peor servicio que he recibido. #colera,235,64,23,peor servicio recibido colera,Negativo
26,usuario26,2025-02-25,"No volvere a comprar aqui, muy decepcionado. #decepcion",30,20,37,volverir comprar aqui decepcionado decepcion,Negativo
27,usuario27,2025-01-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",127,42,35,volverir comprar aqui decepcionado decepcion,Negativo
28,usuario28,2025-03-24,No puedo creer lo mal que funciona esto. #colera,143,27,14,poder creer mal función colera,Negativo
29,usuario29,2025-07-08,Es frustrante que no funcione como esperaba. #frustracion,377,0,42,frustrante funcione esperar frustracion,Negativo
30,usuario30,2025-05-26,El peor servicio que he recibido. #colera,117,32,41,peor servicio recibido colera,Negativo
31,usuario31,2025-06-02,Me siento decepcionado con la calidad. #decepcion,169,52,49,sentir decepcionado calidad decepcion,Negativo
32,usuario32,2025-03-31,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",185,41,6,servicio excelente satisfecho satisfaccion,Positivo
33,usuario33,2025-04-25,"Esto es increible, estoy extasiado! #extasis",114,81,41,increible extasiado extasis,Positivo
34,usuario34,2025-12-23,Estoy muy feliz con este producto! #alegria,373,86,45,feliz producto alegrio,Positivo
35,usuario35,2025-02-02,"Un producto realmente bueno, supero mis expectativas. #alegria",461,100,1,producto realmente bueno supero expectativa alegrio,Positivo
36,usuario36,2025-09-27,Es frustrante que no funcione como esperaba. #frustracion,497,51,12,frustrante funcione esperar frustracion,Negativo
37,usuario37,2025-06-18,Estoy muy feliz con este producto! #alegria,269,71,1,feliz producto alegrio,Positivo
38,usuario38,2025-01-26,No puedo creer lo mal que funciona esto. #colera,472,97,32,poder creer mal función colera,Negativo
39,usuario39,2025-08-21,Es frustrante que no funcione como esperaba. #frustracion,270,15,37,frustrante funcione esperar frustracion,Negativo
40,usuario40,2025-12-04,Estoy muy feliz con este producto! #alegria,171,39,16,feliz producto alegrio,Positivo
41,usuario41,2025-04-28,"Esto es increible, estoy extasiado! #extasis",112,78,33,increible extasiado extasis,Positivo
42,usuario42,2025-06-30,No puedo creer lo mal que funciona esto. #colera,3,34,9,poder creer mal función colera,Negativo
43,usuario43,2025-12-30,"Un producto realmente bueno, supero mis expectativas. #alegria",259,57,3,producto realmente bueno supero expectativa alegrio,Positivo
44,usuario44,2025-06-13,Me siento decepcionado con la calidad. #decepcion,287,32,31,sentir decepcionado calidad decepcion,Negativo
45,usuario45,2025-03-30,"No volvere a comprar aqui, muy decepcionado. #decepcion",333,25,37,volverir comprar aqui decepcionado decepcion,Negativo
46,usuario46,2025-12-30,El peor servicio que he recibido. #colera,257,87,16,peor servicio recibido colera,Negativo
47,usuario47,2025-04-27,El peor servicio que he recibido. #colera,328,71,2,peor servicio recibido colera,Negativo
48,usuario48,2025-02-16,El peor servicio que he recibido. #colera,46,53,6,peor servicio recibido colera,Negativo
49,usuario49,2025-01-20,"Esto es increible, estoy extasiado! #extasis",103,58,17,increible extasiado extasis,Positivo
50,usuario50,2025-03-14,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",485,79,49,servicio excelente satisfecho satisfaccion,Positivo
51,usuario51,2025-08-10,"Un producto realmente bueno, supero mis expectativas. #alegria",188,73,46,producto realmente bueno supero expectativa alegrio,Positivo
52,usuario52,2025-08-13,"Un producto realmente bueno, supero mis expectativas. #alegria",353,10,44,producto realmente bueno supero expectativa alegrio,Positivo
53,usuario53,2025-05-08,Me siento decepcionado con la calidad. #decepcion,32,76,44,sentir decepcionado calidad decepcion,Negativo
54,usuario54,2025-01-27,Estoy muy feliz con este producto! #alegria,333,78,13,feliz producto alegrio,Positivo
55,usuario55,2025-10-08,"No volvere a comprar aqui, muy decepcionado. #decepcion",55,44,47,volverir comprar aqui decepcionado decepcion,Negativo
56,usuario56,2025-12-06,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",62,85,6,experiencia maravilloso satisfecho satisfaccion,Positivo
57,usuario57,2025-06-13,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",432,41,42,experiencia maravilloso satisfecho satisfaccion,Positivo
58,usuario58,2025-06-14,El peor servicio que he recibido. #colera,256,16,32,peor servicio recibido colera,Negativo
59,usuario59,2025-10-26,Es frustrante que no funcione como esperaba. #frustracion,1,88,1,frustrante funcione esperar frustracion,Negativo
60,usuario60,2025-05-17,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",415,14,31,experiencia maravilloso satisfecho satisfaccion,Positivo
61,usuario61,2025-10-15,El peor servicio que he recibido. #colera,134,78,31,peor servicio recibido colera,Negativo
62,usuario62,2025-05-18,Estoy muy feliz con este producto! #alegria,88,39,31,feliz producto alegrio,Positivo
63,usuario63,2025-06-04,El peor servicio que he recibido. #colera,107,55,33,peor servicio recibido colera,Negativo
64,usuario64,2025-09-16,Me siento decepcionado con la calidad. #decepcion,243,86,31,sentir decepcionado calidad decepcion,Negativo
65,usuario65,2025-07-25,"Un producto realmente bueno, supero mis expectativas. #alegria",2,11,43,producto realmente bueno supero expectativa alegrio,Positivo
66,usuario66,2025-10-26,"Esto es increible, estoy extasiado! #extasis",482,7,11,increible extasiado extasis,Positivo
67,usuario67,2025-07-02,"Un producto realmente bueno, supero mis expectativas. #alegria",79,49,31,producto realmente bueno supero expectativa alegrio,Positivo
68,usuario68,2025-05-21,"Esto es increible, estoy extasiado! #extasis",173,35,21,increible extasiado extasis,Positivo
69,usuario69,2025-04-04,No puedo creer lo mal que funciona esto. #colera,167,56,19,poder creer mal función colera,Negativo
70,usuario70,2025-06-15,No puedo creer lo mal que funciona esto. #colera,382,59,38,poder creer mal función colera,Negativo
71,usuario71,2025-02-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",33,41,19,volverir comprar aqui decepcionado decepcion,Negativo
72,usuario72,2025-12-20,Estoy muy feliz con este producto! #alegria,266,30,29,feliz producto alegrio,Positivo
73,usuario73,2025-06-11,Estoy muy feliz con este producto! #alegria,107,63,42,feliz producto alegrio,Positivo
74,usuario74,2025-04-30,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",173,45,31,servicio excelente satisfecho satisfaccion,Positivo
75,usuario75,2025-03-16,Es frustrante que no funcione como esperaba. #frustracion,472,30,27,frustrante funcione esperar frustracion,Negativo
76,usuario76,2025-02-12,Es frustrante que no funcione como esperaba. #frustracion,163,69,4,frustrante funcione esperar frustracion,Negativo
77,usuario77,2025-05-28,Es frustrante que no funcione como esperaba. #frustracion,371,85,2,frustrante funcione esperar frustracion,Negativo
78,usuario78,2025-12-25,Estoy muy feliz con este producto! #alegria,319,85,46,feliz producto alegrio,Positivo
79,usuario79,2025-08-05,Estoy muy feliz con este producto! #alegria,438,95,32,feliz producto alegrio,Positivo
80,usuario80,2025-08-02,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",89,73,15,experiencia maravilloso satisfecho satisfaccion,Positivo
81,usuario81,2025-12-01,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",19,84,0,servicio excelente satisfecho satisfaccion,Positivo
82,usuario82,2025-01-14,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",456,36,43,servicio excelente satisfecho satisfaccion,Positivo
83,usuario83,2025-05-01,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",362,55,19,experiencia maravilloso satisfecho satisfaccion,Positivo
84,usuario84,2025-11-06,"Un producto realmente bueno, supero mis expectativas. #alegria",265,67,32,producto realmente bueno supero expectativa alegrio,Positivo
85,usuario85,2025-09-22,"Un producto realmente bueno, supero mis expectativas. #alegria",123,1,41,producto realmente bueno supero expectativa alegrio,Positivo
86,usuario86,2025-09-22,No puedo creer lo mal que funciona esto. #colera,178,60,48,poder creer mal función colera,Negativo
87,usuario87,2025-01-04,Me siento decepcionado con la calidad. #decepcion,312,62,37,sentir decepcionado calidad decepcion,Negativo
88,usuario88,2025-10-29,"No volvere a comprar aqui, muy decepcionado. #decepcion",72,77,28,volverir comprar aqui decepcionado decepcion,Negativo
89,usuario89,2025-11-08,Estoy muy feliz con este producto! #alegria,100,19,2,feliz producto alegrio,Positivo
90,usuario90,2025-02-11,Me siento decepcionado con la calidad. #decepcion,143,9,46,sentir decepcionado calidad decepcion,Negativo
91,usuario91,2025-04-01,"No volvere a comprar aqui, muy decepcionado. #decepcion",55,60,44,volverir comprar aqui decepcionado decepcion,Negativo
92,usuario92,2025-02-16,"Esto es increible, estoy extasiado! #extasis",254,88,3,increible extasiado extasis,Positivo
93,usuario93,2025-01-09,Estoy muy feliz con este producto! #alegria,428,23,13,feliz producto alegrio,Positivo
94,usuario94,2025-11-04,Me siento decepcionado con la calidad. #decepcion,213,28,13,sentir decepcionado calidad decepcion,Negativo
95,usuario95,2025-12-30,"No volvere a comprar aqui, muy decepcionado. #decepcion",214,20,17,volverir comprar aqui decepcionado decepcion,Negativo
96,usuario96,2025-11-30,Estoy muy feliz con este producto! #alegria,264,4,4,feliz producto alegrio,Positivo
97,usuario97,2025-04-26,No puedo creer lo mal que funciona esto. #colera,335,29,26,poder creer mal función colera,Negativo
98,usuario98,2025-11-30,"Esto es increible, estoy extasiado! #extasis",348,34,48,increible extasiado extasis,Positivo
99,usuario99,2025-12-12,"Esto es increible, estoy extasiado! #extasis",115,70,12,increible extasiado extasis,Positivo
100,usuario100,2025-06-02,"Un producto realmente bueno, supero mis expectativas. #alegria",193,23,22,producto realmente bueno supero expectativa alegrio,Positivo
101,usuario101,2025-12-28,No puedo creer lo mal que funciona esto. #colera,365,9,44,poder creer mal función colera,Negativo
102,usuario102,2025-01-06,"No volvere a comprar aqui, muy decepcionado. #decepcion",413,56,15,volverir comprar aqui decepcionado decepcion,Negativo
103,usuario103,2025-08-21,Me siento decepcionado con la calidad. #decepcion,51,8,25,sentir decepcionado calidad decepcion,Negativo
104,usuario104,2025-02-09,El peor servicio que he recibido. #colera,465,88,16,peor servicio recibido colera,Negativo
105,usuario105,2025-09-24,El peor servicio que he recibido. #colera,66,71,5,peor servicio recibido colera,Negativo
106,usuario106,2025-02-08,Me siento decepcionado con la calidad. #decepcion,153,47,37,sentir decepcionado calidad decepcion,Negativo
107,usuario107,2025-04-05,No puedo creer lo mal que funciona esto. #colera,481,90,14,poder creer mal función colera,Negativo
108,usuario108,2025-01-15,El peor servicio que he recibido. #colera,337,95,49,peor servicio recibido colera,Negativo
109,usuario109,2025-10-22,"Esto es increible, estoy extasiado! #extasis",489,65,47,increible extasiado extasis,Positivo
110,usuario110,2025-06-07,"Un producto realmente bueno, supero mis expectativas. #alegria",230,22,34,producto realmente bueno supero expectativa alegrio,Positivo
111,usuario111,2025-04-13,No puedo creer lo mal que funciona esto. #colera,293,63,33,poder creer mal función colera,Negativo
112,usuario112,2025-09-19,"Un producto realmente bueno, supero mis expectativas. #alegria",182,91,17,producto realmente bueno supero expectativa alegrio,Positivo
113,usuario113,2025-03-13,No puedo creer lo mal que funciona esto. #colera,439,99,14,poder creer mal función colera,Negativo
114,usuario114,2025-03-13,"No volvere a comprar aqui, muy decepcionado. #decepcion",332,41,4,volverir comprar aqui decepcionado decepcion,Negativo
115,usuario115,2025-09-16,"Un producto realmente bueno, supero mis expectativas. #alegria",63,32,26,producto realmente bueno supero expectativa alegrio,Positivo
116,usuario116,2025-06-26,El peor servicio que he recibido. #colera,207,70,23,peor servicio recibido colera,Negativo
117,usuario117,2025-12-17,El peor servicio que he recibido. #colera,114,54,49,peor servicio recibido colera,Negativo
118,usuario118,2025-06-24,"Un producto realmente bueno, supero mis expectativas. #alegria",232,75,47,producto realmente bueno supero expectativa alegrio,Positivo
119,usuario119,2025-02-17,"No volvere a comprar aqui, muy decepcionado. #decepcion",435,4,30,volverir comprar aqui decepcionado decepcion,Negativo
120,usuario120,2025-12-12,El peor servicio que he recibido. #colera,472,16,32,peor servicio recibido colera,Negativo
121,usuario121,2025-06-20,Es frustrante que no funcione como esperaba. #frustracion,454,33,13,frustrante funcione esperar frustracion,Negativo
122,usuario122,2025-03-02,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",116,44,1,experiencia maravilloso satisfecho satisfaccion,Positivo
123,usuario123,2025-06-20,"Un producto realmente bueno, supero mis expectativas. #alegria",116,51,49,producto realmente bueno supero expectativa alegrio,Positivo
124,usuario124,2025-01-30,Me siento decepcionado con la calidad. #decepcion,451,39,7,sentir decepcionado calidad decepcion,Negativo
125,usuario125,2025-05-21,Es frustrante que no funcione como esperaba. #frustracion,2,15,7,frustrante funcione esperar frustracion,Negativo
126,usuario126,2025-11-27,"No volvere a comprar aqui, muy decepcionado. #decepcion",70,58,10,volverir comprar aqui decepcionado decepcion,Negativo
127,usuario127,2025-05-08,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",85,91,10,servicio excelente satisfecho satisfaccion,Positivo
128,usuario128,2025-12-10,Estoy muy feliz con este producto! #alegria,138,68,10,feliz producto alegrio,Positivo
129,usuario129,2025-09-15,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",57,31,48,servicio excelente satisfecho satisfaccion,Positivo
130,usuario130,2025-03-23,Me siento decepcionado con la calidad. #decepcion,36,1,8,sentir decepcionado calidad decepcion,Negativo
131,usuario131,2025-10-17,No puedo creer lo mal que funciona esto. #colera,349,43,44,poder creer mal función colera,Negativo
132,usuario132,2025-04-27,El peor servicio que he recibido. #colera,399,0,5,peor servicio recibido colera,Negativo
133,usuario133,2025-07-07,No puedo creer lo mal que funciona esto. #colera,57,7,2,poder creer mal función colera,Negativo
134,usuario134,2025-08-08,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",13,65,47,experiencia maravilloso satisfecho satisfaccion,Positivo
135,usuario135,2025-04-21,Me siento decepcionado con la calidad. #decepcion,74,51,44,sentir decepcionado calidad decepcion,Negativo
136,usuario136,2025-04-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",355,11,45,servicio excelente satisfecho satisfaccion,Positivo
137,usuario137,2025-04-19,"No volvere a comprar aqui, muy decepcionado. #decepcion",148,31,10,volverir comprar aqui decepcionado decepcion,Negativo
138,usuario138,2025-03-22,Es frustrante que no funcione como esperaba. #frustracion,94,57,47,frustrante funcione esperar frustracion,Negativo
139,usuario139,2025-11-21,"Un producto realmente bueno, supero mis expectativas. #alegria",340,53,41,producto realmente bueno supero expectativa alegrio,Positivo
140,usuario140,2025-12-11,No puedo creer lo mal que funciona esto. #colera,36,74,10,poder creer mal función colera,Negativo
141,usuario141,2025-12-31,Me siento decepcionado con la calidad. #decepcion,43,17,7,sentir decepcionado calidad decepcion,Negativo
142,usuario142,2025-06-06,No puedo creer lo mal que funciona esto. #colera,76,52,24,poder creer mal función colera,Negativo
143,usuario143,2025-08-16,Estoy muy feliz con este producto! #alegria,423,90,36,feliz producto alegrio,Positivo
144,usuario144,2025-12-28,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",462,43,18,servicio excelente satisfecho satisfaccion,Positivo
145,usuario145,2025-01-25,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",471,84,7,servicio excelente satisfecho satisfaccion,Positivo
146,usuario146,2025-08-13,"Esto es increible, estoy extasiado! #extasis",335,9,0,increible extasiado extasis,Positivo
147,usuario147,2025-10-02,"Esto es increible, estoy extasiado! #extasis",256,31,0,increible extasiado extasis,Positivo
148,usuario148,2025-03-06,No puedo creer lo mal que funciona esto. #colera,31,35,38,poder creer mal función colera,Negativo
149,usuario149,2025-11-04,"No volvere a comprar aqui, muy decepcionado. #decepcion",45,85,8,volverir comprar aqui decepcionado decepcion,Negativo
150,usuario150,2025-06-29,Estoy muy feliz con este producto! #alegria,213,54,7,feliz producto alegrio,Positivo
151,usuario151,2025-08-06,Me siento decepcionado con la calidad. #decepcion,77,48,2,sentir decepcionado calidad decepcion,Negativo
152,usuario152,2025-01-01,"No volvere a comprar aqui, muy decepcionado. #decepcion",271,25,25,volverir comprar aqui decepcionado decepcion,Negativo
153,usuario153,2025-12-13,Estoy muy feliz con este producto! #alegria,203,98,6,feliz producto alegrio,Positivo
154,usuario154,2025-04-22,No puedo creer lo mal que funciona esto. #colera,37,51,50,poder creer mal función colera,Negativo
155,usuario155,2025-01-27,"Esto es increible, estoy extasiado! #extasis",274,67,47,increible extasiado extasis,Positivo
156,usuario156,2025-10-23,"Esto es increible, estoy extasiado! #extasis",155,94,14,increible extasiado extasis,Positivo
157,usuario157,2025-04-09,Estoy muy feliz con este producto! #alegria,449,16,8,feliz producto alegrio,Positivo
158,usuario158,2025-12-09,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",410,11,5,experiencia maravilloso satisfecho satisfaccion,Positivo
159,usuario159,2025-07-08,Es frustrante que no funcione como esperaba. #frustracion,57,64,2,frustrante funcione esperar frustracion,Negativo
160,usuario160,2025-10-01,Es frustrante que no funcione como esperaba. #frustracion,474,22,0,frustrante funcione esperar frustracion,Negativo
161,usuario161,2025-04-25,No puedo creer lo mal que funciona esto. #colera,94,83,23,poder creer mal función colera,Negativo
162,usuario162,2025-09-11,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",405,29,9,experiencia maravilloso satisfecho satisfaccion,Positivo
163,usuario163,2025-09-16,"No volvere a comprar aqui, muy decepcionado. #decepcion",436,78,23,volverir comprar aqui decepcionado decepcion,Negativo
164,usuario164,2025-09-08,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",317,6,11,experiencia maravilloso satisfecho satisfaccion,Positivo
165,usuario165,2025-02-28,Me siento decepcionado con la calidad. #decepcion,204,21,11,sentir decepcionado calidad decepcion,Negativo
166,usuario166,2025-09-27,Es frustrante que no funcione como esperaba. #frustracion,14,67,47,frustrante funcione esperar frustracion,Negativo
167,usuario167,2025-07-12,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",209,19,8,servicio excelente satisfecho satisfaccion,Positivo
168,usuario168,2025-11-10,"Un producto realmente bueno, supero mis expectativas. #alegria",162,56,36,producto realmente bueno supero expectativa alegrio,Positivo
169,usuario169,2025-02-12,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",129,42,1,experiencia maravilloso satisfecho satisfaccion,Positivo
170,usuario170,2025-10-10,No puedo creer lo mal que funciona esto. #colera,355,78,46,poder creer mal función colera,Negativo
171,usuario171,2025-04-06,"Esto es increible, estoy extasiado! #extasis",464,13,47,increible extasiado extasis,Positivo
172,usuario172,2025-06-25,El peor servicio que he recibido. #colera,431,50,11,peor servicio recibido colera,Negativo
173,usuario173,2025-05-13,El peor servicio que he recibido. #colera,344,15,20,peor servicio recibido colera,Negativo
174,usuario174,2025-01-21,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",245,40,5,servicio excelente satisfecho satisfaccion,Positivo
175,usuario175,2025-01-16,El peor servicio que he recibido. #colera,311,41,19,peor servicio recibido colera,Negativo
176,usuario176,2025-08-27,"Esto es increible, estoy extasiado! #extasis",216,57,29,increible extasiado extasis,Positivo
177,usuario177,2025-01-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",146,57,23,experiencia maravilloso satisfecho satisfaccion,Positivo
178,usuario178,2025-11-28,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",281,51,41,experiencia maravilloso satisfecho satisfaccion,Positivo
179,usuario179,2025-12-31,El peor servicio que he recibido. #colera,78,45,20,peor servicio recibido colera,Negativo
180,usuario180,2025-03-15,"Esto es increible, estoy extasiado! #extasis",223,23,49,increible extasiado extasis,Positivo
181,usuario181,2025-05-07,Estoy muy feliz con este producto! #alegria,38,41,29,feliz producto alegrio,Positivo
182,usuario182,2025-01-07,No puedo creer lo mal que funciona esto. #colera,310,5,26,poder creer mal función colera,Negativo
183,usuario183,2025-05-15,El peor servicio que he recibido. #colera,251,26,33,peor servicio recibido colera,Negativo
184,usuario184,2025-06-06,"No volvere a comprar aqui, muy decepcionado. #decepcion",379,7,18,volverir comprar aqui decepcionado decepcion,Negativo
185,usuario185,2025-07-14,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",59,3,13,servicio excelente satisfecho satisfaccion,Positivo
186,usuario186,2025-07-31,Me siento decepcionado con la calidad. #decepcion,384,59,21,sentir decepcionado calidad decepcion,Negativo
187,usuario187,2025-02-05,Estoy muy feliz con este producto! #alegria,112,5,10,feliz producto alegrio,Positivo
188,usuario188,2025-09-08,Me siento decepcionado con la calidad. #decepcion,267,73,27,sentir decepcionado calidad decepcion,Negativo
189,usuario189,2025-08-06,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",354,4,40,experiencia maravilloso satisfecho satisfaccion,Positivo
190,usuario190,2025-09-08,"Esto es increible, estoy extasiado! #extasis",356,74,23,increible extasiado extasis,Positivo
191,usuario191,2025-03-12,Estoy muy feliz con este producto! #alegria,282,6,50,feliz producto alegrio,Positivo
192,usuario192,2025-06-19,"Un producto realmente bueno, supero mis expectativas. #alegria",9,6,45,producto realmente bueno supero expectativa alegrio,Positivo
193,usuario193,2025-07-27,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",230,40,31,experiencia maravilloso satisfecho satisfaccion,Positivo
194,usuario194,2025-12-11,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",34,0,41,experiencia maravilloso satisfecho satisfaccion,Positivo
195,usuario195,2025-08-13,No puedo creer lo mal que funciona esto. #colera,416,5,30,poder creer mal función colera,Negativo
196,usuario196,2025-01-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",44,75,4,experiencia maravilloso satisfecho satisfaccion,Positivo
197,usuario197,2025-11-08,Me siento decepcionado con la calidad. #decepcion,323,0,27,sentir decepcionado calidad decepcion,Negativo
198,usuario198,2025-06-17,"Un producto realmente bueno, supero mis expectativas. #alegria",155,75,2,producto realmente bueno supero expectativa alegrio,Positivo
199,usuario199,2025-12-07,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",195,68,28,servicio excelente satisfecho satisfaccion,Positivo
200,usuario200,2025-01-12,Me siento decepcionado con la calidad. #decepcion,162,100,8,sentir decepcionado calidad decepcion,Negativo
201,usuario201,2025-01-02,Me siento decepcionado con la calidad. #decepcion,18,97,36,sentir decepcionado calidad decepcion,Negativo
202,usuario202,2025-07-14,El peor servicio que he recibido. #colera,266,48,44,peor servicio recibido colera,Negativo
203,usuario203,2025-01-04,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",325,12,33,experiencia maravilloso satisfecho satisfaccion,Positivo
204,usuario204,2025-03-21,"Un producto realmente bueno, supero mis expectativas. #alegria",198,18,21,producto realmente bueno supero expectativa alegrio,Positivo
205,usuario205,2025-01-04,Estoy muy feliz con este producto! #alegria,28,74,7,feliz producto alegrio,Positivo
206,usuario206,2025-03-16,Me siento decepcionado con la calidad. #decepcion,157,73,12,sentir decepcionado calidad decepcion,Negativo
207,usuario207,2025-01-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",120,8,16,experiencia maravilloso satisfecho satisfaccion,Positivo
208,usuario208,2025-01-30,No puedo creer lo mal que funciona esto. #colera,282,0,35,poder creer mal función colera,Negativo
209,usuario209,2025-04-22,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",10,11,8,experiencia maravilloso satisfecho satisfaccion,Positivo
210,usuario210,2025-09-19,"No volvere a comprar aqui, muy decepcionado. #decepcion",53,25,37,volverir comprar aqui decepcionado decepcion,Negativo
211,usuario211,2025-03-21,"No volvere a comprar aqui, muy decepcionado. #decepcion",186,94,36,volverir comprar aqui decepcionado decepcion,Negativo
212,usuario212,2025-07-28,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",370,13,12,experiencia maravilloso satisfecho satisfaccion,Positivo
213,usuario213,2025-01-26,"Esto es increible, estoy extasiado! #extasis",70,85,37,increible extasiado extasis,Positivo
214,usuario214,2025-10-13,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",263,58,6,servicio excelente satisfecho satisfaccion,Positivo
215,usuario215,2025-01-19,"No volvere a comprar aqui, muy decepcionado. #decepcion",19,3,39,volverir comprar aqui decepcionado decepcion,Negativo
216,usuario216,2025-10-09,Me siento decepcionado con la calidad. #decepcion,273,5,3,sentir decepcionado calidad decepcion,Negativo
217,usuario217,2025-04-01,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",219,34,8,experiencia maravilloso satisfecho satisfaccion,Positivo
218,usuario218,2025-02-07,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",392,89,7,experiencia maravilloso satisfecho satisfaccion,Positivo
219,usuario219,2025-11-04,"No volvere a comprar aqui, muy decepcionado. #decepcion",59,67,27,volverir comprar aqui decepcionado decepcion,Negativo
220,usuario220,2025-09-17,Es frustrante que no funcione como esperaba. #frustracion,419,51,48,frustrante funcione esperar frustracion,Negativo
