id,usuario,fecha,contenido,retweets,likes,respuestas,Texto_Procesado
25,@usuario25,2025-08-23,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",91,24,84,experiencia maravilloso satisfecho satisfaccion
26,@usuario26,2025-09-01,"Un producto realmente bueno, supero mis expectativas. #alegria",52,54,6,producto realmente bueno supero expectativa alegrio
27,@usuario27,2025-06-02,"Esto es increible, estoy extasiado! #extasis",11,246,43,increible extasiado extasis
28,@usuario28,2025-10-31,"Esto es increible, estoy extasiado! #extasis",178,372,50,increible extasiado extasis
29,@usuario29,2025-01-25,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",7,372,28,servicio excelente satisfecho satisfaccion
30,@usuario30,2025-01-17,Estoy muy feliz con este producto! #alegria,54,481,10,feliz producto alegrio
31,@usuario31,2025-05-05,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",29,363,30,servicio excelente satisfecho satisfaccion
32,@usuario32,2025-10-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",106,261,53,volverir comprar aqui decepcionado decepcion
33,@usuario33,2025-10-14,Estoy muy feliz con este producto! #alegria,88,25,32,feliz producto alegrio
34,@usuario34,2025-01-07,El peor servicio que he recibido. #colera,134,250,24,peor servicio recibido colera
35,@usuario35,2025-06-10,El peor servicio que he recibido. #colera,22,202,85,peor servicio recibido colera
36,@usuario36,2025-06-05,No puedo creer lo mal que funciona esto. #colera,187,132,67,poder creer mal función colera
37,@usuario37,2025-05-11,No puedo creer lo mal que funciona esto. #colera,99,443,48,poder creer mal función colera
38,@usuario38,2025-11-16,"No volvere a comprar aqui, muy decepcionado. #decepcion",123,461,52,volverir comprar aqui decepcionado decepcion
39,@usuario39,2025-05-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",190,356,56,volverir comprar aqui decepcionado decepcion
40,@usuario40,2025-01-02,"Un producto realmente bueno, supero mis expectativas. #alegria",10,214,84,producto realmente bueno supero expectativa alegrio
41,@usuario41,2025-03-30,Es frustrante que no funcione como esperaba. #frustracion,6,171,3,frustrante funcione esperar frustracion
42,@usuario42,2025-01-23,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",58,383,49,experiencia maravilloso satisfecho satisfaccion
43,@usuario43,2025-03-19,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",22,366,40,servicio excelente satisfecho satisfaccion
44,@usuario44,2025-01-03,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",65,413,36,servicio excelente satisfecho satisfaccion
45,@usuario45,2025-10-17,Me siento decepcionado con la calidad. #decepcion,139,352,72,sentir decepcionado calidad decepcion
46,@usuario46,2025-10-19,Me siento decepcionado con la calidad. #decepcion,15,349,0,sentir decepcionado calidad decepcion
47,@usuario47,2025-11-06,"Un producto realmente bueno, supero mis expectativas. #alegria",78,55,45,producto realmente bueno supero expectativa alegrio
48,@usuario48,2025-10-09,Es frustrante que no funcione como esperaba. #frustracion,3,92,83,frustrante funcione esperar frustracion
49,@usuario49,2025-05-12,"Un producto realmente bueno, supero mis expectativas. #alegria",149,204,22,producto realmente bueno supero expectativa alegrio
50,@usuario50,2025-12-30,"Esto es increible, estoy extasiado! #extasis",111,366,54,increible extasiado extasis
51,@usuario51,2025-07-17,Estoy muy feliz con este producto! #alegria,103,495,16,feliz producto alegrio
52,@usuario52,2025-09-08,"Esto es increible, estoy extasiado! #extasis",146,415,41,increible extasiado extasis
53,@usuario53,2025-06-05,El peor servicio que he recibido. #colera,160,416,23,peor servicio recibido colera
54,@usuario54,2025-09-11,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",10,311,15,experiencia maravilloso satisfecho satisfaccion
55,@usuario55,2025-01-12,"Un producto realmente bueno, supero mis expectativas. #alegria",151,153,4,producto realmente bueno supero expectativa alegrio
56,@usuario56,2025-09-12,No puedo creer lo mal que funciona esto. #colera,37,464,42,poder creer mal función colera
57,@usuario57,2025-06-26,"No volvere a comprar aqui, muy decepcionado. #decepcion",97,300,26,volverir comprar aqui decepcionado decepcion
58,@usuario58,2025-01-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",123,465,67,servicio excelente satisfecho satisfaccion
59,@usuario59,2025-01-27,"No volvere a comprar aqui, muy decepcionado. #decepcion",113,71,47,volverir comprar aqui decepcionado decepcion
60,@usuario60,2025-03-29,"No volvere a comprar aqui, muy decepcionado. #decepcion",52,494,79,volverir comprar aqui decepcionado decepcion
61,@usuario61,2025-01-06,No puedo creer lo mal que funciona esto. #colera,136,421,47,poder creer mal función colera
62,@usuario62,2025-10-03,"No volvere a comprar aqui, muy decepcionado. #decepcion",19,242,79,volverir comprar aqui decepcionado decepcion
63,@usuario63,2025-05-07,"No volvere a comprar aqui, muy decepcionado. #decepcion",189,315,61,volverir comprar aqui decepcionado decepcion
64,@usuario64,2025-08-14,No puedo creer lo mal que funciona esto. #colera,188,33,28,poder creer mal función colera
65,@usuario65,2025-08-11,"No volvere a comprar aqui, muy decepcionado. #decepcion",157,365,96,volverir comprar aqui decepcionado decepcion
66,@usuario66,2025-07-24,"Un producto realmente bueno, supero mis expectativas. #alegria",171,223,62,producto realmente bueno supero expectativa alegrio
67,@usuario67,2025-04-17,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",154,496,10,servicio excelente satisfecho satisfaccion
68,@usuario68,2025-04-14,"Un producto realmente bueno, supero mis expectativas. #alegria",122,313,43,producto realmente bueno supero expectativa alegrio
69,@usuario69,2025-10-12,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",101,389,16,servicio excelente satisfecho satisfaccion
70,@usuario70,2025-12-29,"Un producto realmente bueno, supero mis expectativas. #alegria",46,85,83,producto realmente bueno supero expectativa alegrio
71,@usuario71,2025-06-13,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",176,263,80,experiencia maravilloso satisfecho satisfaccion
72,@usuario72,2025-06-03,No puedo creer lo mal que funciona esto. #colera,75,369,20,poder creer mal función colera
73,@usuario73,2025-05-22,No puedo creer lo mal que funciona esto. #colera,51,72,17,poder creer mal función colera
74,@usuario74,2025-02-11,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",131,248,70,servicio excelente satisfecho satisfaccion
75,@usuario75,2025-07-23,No puedo creer lo mal que funciona esto. #colera,2,494,17,poder creer mal función colera
76,@usuario76,2025-09-12,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",81,466,52,experiencia maravilloso satisfecho satisfaccion
77,@usuario77,2025-06-14,"Un producto realmente bueno, supero mis expectativas. #alegria",140,212,10,producto realmente bueno supero expectativa alegrio
78,@usuario78,2025-05-24,"Esto es increible, estoy extasiado! #extasis",157,161,88,increible extasiado extasis
79,@usuario79,2025-02-09,Es frustrante que no funcione como esperaba. #frustracion,106,141,36,frustrante funcione esperar frustracion
80,@usuario80,2025-10-31,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",139,5,82,experiencia maravilloso satisfecho satisfaccion
81,@usuario81,2025-07-17,Estoy muy feliz con este producto! #alegria,33,301,37,feliz producto alegrio
82,@usuario82,2025-10-28,"Esto es increible, estoy extasiado! #extasis",108,464,62,increible extasiado extasis
83,@usuario83,2025-12-13,"Un producto realmente bueno, supero mis expectativas. #alegria",135,474,40,producto realmente bueno supero expectativa alegrio
84,@usuario84,2025-10-25,El peor servicio que he recibido. #colera,37,287,89,peor servicio recibido colera
85,@usuario85,2025-04-17,Es frustrante que no funcione como esperaba. #frustracion,11,35,32,frustrante funcione esperar frustracion
86,@usuario86,2025-10-30,"Esto es increible, estoy extasiado! #extasis",84,422,17,increible extasiado extasis
87,@usuario87,2025-02-12,"Esto es increible, estoy extasiado! #extasis",199,453,27,increible extasiado extasis
88,@usuario88,2025-12-24,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",187,161,28,servicio excelente satisfecho satisfaccion
89,@usuario89,2025-07-18,Me siento decepcionado con la calidad. #decepcion,143,85,73,sentir decepcionado calidad decepcion
90,@usuario90,2025-07-08,"Un producto realmente bueno, supero mis expectativas. #alegria",147,150,7,producto realmente bueno supero expectativa alegrio
91,@usuario91,2025-04-26,El peor servicio que he recibido. #colera,162,176,20,peor servicio recibido colera
92,@usuario92,2025-06-03,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",175,47,33,experiencia maravilloso satisfecho satisfaccion
93,@usuario93,2025-03-22,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",19,121,94,experiencia maravilloso satisfecho satisfaccion
94,@usuario94,2025-04-21,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",5,103,72,servicio excelente satisfecho satisfaccion
95,@usuario95,2025-05-26,Estoy muy feliz con este producto! #alegria,172,270,88,feliz producto alegrio
96,@usuario96,2025-03-28,"Un producto realmente bueno, supero mis expectativas. #alegria",119,205,34,producto realmente bueno supero expectativa alegrio
97,@usuario97,2025-09-07,El peor servicio que he recibido. #colera,5,440,77,peor servicio recibido colera
98,@usuario98,2025-10-03,Estoy muy feliz con este producto! #alegria,188,460,27,feliz producto alegrio
99,@usuario99,2025-09-11,"No volvere a comprar aqui, muy decepcionado. #decepcion",99,446,84,volverir comprar aqui decepcionado decepcion
100,@usuario100,2025-05-06,Me siento decepcionado con la calidad. #decepcion,126,406,56,sentir decepcionado calidad decepcion
101,@usuario101,2025-12-18,Es frustrante que no funcione como esperaba. #frustracion,72,44,68,frustrante funcione esperar frustracion
102,@usuario102,2025-06-03,Es frustrante que no funcione como esperaba. #frustracion,25,483,65,frustrante funcione esperar frustracion
103,@usuario103,2025-12-09,No puedo creer lo mal que funciona esto. #colera,15,298,23,poder creer mal función colera
104,@usuario104,2025-12-10,"No volvere a comprar aqui, muy decepcionado. #decepcion",125,405,33,volverir comprar aqui decepcionado decepcion
105,@usuario105,2025-11-09,Es frustrante que no funcione como esperaba. #frustracion,174,116,98,frustrante funcione esperar frustracion
106,@usuario106,2025-03-19,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",51,352,76,servicio excelente satisfecho satisfaccion
107,@usuario107,2025-04-29,"Un producto realmente bueno, supero mis expectativas. #alegria",183,73,17,producto realmente bueno supero expectativa alegrio
108,@usuario108,2025-10-15,Me siento decepcionado con la calidad. #decepcion,96,62,79,sentir decepcionado calidad decepcion
109,@usuario109,2025-10-07,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",19,227,90,experiencia maravilloso satisfecho satisfaccion
110,@usuario110,2025-04-25,El peor servicio que he recibido. #colera,183,353,5,peor servicio recibido colera
111,@usuario111,2025-04-03,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",13,490,90,experiencia maravilloso satisfecho satisfaccion
112,@usuario112,2025-09-26,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",2,336,0,servicio excelente satisfecho satisfaccion
113,@usuario113,2025-11-05,No puedo creer lo mal que funciona esto. #colera,182,461,15,poder creer mal función colera
114,@usuario114,2025-04-16,"No volvere a comprar aqui, muy decepcionado. #decepcion",87,437,55,volverir comprar aqui decepcionado decepcion
115,@usuario115,2025-01-18,Es frustrante que no funcione como esperaba. #frustracion,159,76,19,frustrante funcione esperar frustracion
116,@usuario116,2025-03-20,Es frustrante que no funcione como esperaba. #frustracion,89,426,38,frustrante funcione esperar frustracion
117,@usuario117,2025-02-10,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",197,166,18,servicio excelente satisfecho satisfaccion
118,@usuario118,2025-03-29,Me siento decepcionado con la calidad. #decepcion,43,10,38,sentir decepcionado calidad decepcion
119,@usuario119,2025-04-25,"Un producto realmente bueno, supero mis expectativas. #alegria",56,204,76,producto realmente bueno supero expectativa alegrio
120,@usuario120,2025-01-04,El peor servicio que he recibido. #colera,49,282,40,peor servicio recibido colera
121,@usuario121,2025-12-26,No puedo creer lo mal que funciona esto. #colera,200,59,4,poder creer mal función colera
122,@usuario122,2025-02-11,"Un producto realmente bueno, supero mis expectativas. #alegria",45,18,56,producto realmente bueno supero expectativa alegrio
123,@usuario123,2025-12-23,"No volvere a comprar aqui, muy decepcionado. #decepcion",93,71,23,volverir comprar aqui decepcionado decepcion
124,@usuario124,2025-05-12,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",48,416,96,experiencia maravilloso satisfecho satisfaccion
125,@usuario125,2025-11-09,Me siento decepcionado con la calidad. #decepcion,38,284,65,sentir decepcionado calidad decepcion
126,@usuario126,2025-09-25,No puedo creer lo mal que funciona esto. #colera,56,301,62,poder creer mal función colera
127,@usuario127,2025-02-03,Estoy muy feliz con este producto! #alegria,184,207,23,feliz producto alegrio
128,@usuario128,2025-11-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",109,339,77,experiencia maravilloso satisfecho satisfaccion
129,@usuario129,2025-06-07,Estoy muy feliz con este producto! #alegria,164,213,33,feliz producto alegrio
130,@usuario130,2025-10-25,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",116,35,65,servicio excelente satisfecho satisfaccion
131,@usuario131,2025-11-01,No puedo creer lo mal que funciona esto. #colera,35,214,19,poder creer mal función colera
132,@usuario132,2025-12-30,Estoy muy feliz con este producto! #alegria,178,455,93,feliz producto alegrio
133,@usuario133,2025-04-02,No puedo creer lo mal que funciona esto. #colera,25,193,69,poder creer mal función colera
134,@usuario134,2025-01-02,Me siento decepcionado con la calidad. #decepcion,175,476,72,sentir decepcionado calidad decepcion
135,@usuario135,2025-09-17,Me siento decepcionado con la calidad. #decepcion,197,319,55,sentir decepcionado calidad decepcion
136,@usuario136,2025-03-17,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",195,207,44,experiencia maravilloso satisfecho satisfaccion
137,@usuario137,2025-09-24,Me siento decepcionado con la calidad. #decepcion,4,497,69,sentir decepcionado calidad decepcion
138,@usuario138,2025-04-23,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",60,415,98,servicio excelente satisfecho satisfaccion
139,@usuario139,2025-04-25,"Un producto realmente bueno, supero mis expectativas. #alegria",18,430,6,producto realmente bueno supero expectativa alegrio
140,@usuario140,2025-12-12,"Esto es increible, estoy extasiado! #extasis",72,230,41,increible extasiado extasis
141,@usuario141,2025-11-26,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",30,14,91,experiencia maravilloso satisfecho satisfaccion
142,@usuario142,2025-10-11,Me siento decepcionado con la calidad. #decepcion,43,347,1,sentir decepcionado calidad decepcion
143,@usuario143,2025-01-25,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",7,91,13,experiencia maravilloso satisfecho satisfaccion
144,@usuario144,2025-09-29,"Un producto realmente bueno, supero mis expectativas. #alegria",87,78,50,producto realmente bueno supero expectativa alegrio
145,@usuario145,2025-04-13,"Un producto realmente bueno, supero mis expectativas. #alegria",10,371,75,producto realmente bueno supero expectativa alegrio
146,@usuario146,2025-09-05,Es frustrante que no funcione como esperaba. #frustracion,41,241,71,frustrante funcione esperar frustracion
147,@usuario147,2025-01-31,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",152,185,36,experiencia maravilloso satisfecho satisfaccion
148,@usuario148,2025-01-31,Es frustrante que no funcione como esperaba. #frustracion,28,353,35,frustrante funcione esperar frustracion
149,@usuario149,2025-02-16,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",9,361,24,servicio excelente satisfecho satisfaccion
150,@usuario150,2025-11-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",133,179,50,servicio excelente satisfecho satisfaccion
151,@usuario151,2025-08-11,El peor servicio que he recibido. #colera,84,247,6,peor servicio recibido colera
152,@usuario152,2025-06-30,Estoy muy feliz con este producto! #alegria,71,158,31,feliz producto alegrio
153,@usuario153,2025-09-18,"Un producto realmente bueno, supero mis expectativas. #alegria",86,28,9,producto realmente bueno supero expectativa alegrio
154,@usuario154,2025-10-18,Estoy muy feliz con este producto! #alegria,10,362,89,feliz producto alegrio
155,@usuario155,2025-08-27,"No volvere a comprar aqui, muy decepcionado. #decepcion",104,202,64,volverir comprar aqui decepcionado decepcion
156,@usuario156,2025-10-17,"No volvere a comprar aqui, muy decepcionado. #decepcion",70,464,46,volverir comprar aqui decepcionado decepcion
157,@usuario157,2025-04-09,No puedo creer lo mal que funciona esto. #colera,58,19,19,poder creer mal función colera
158,@usuario158,2025-01-17,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",200,5,40,servicio excelente satisfecho satisfaccion
159,@usuario159,2025-11-16,Es frustrante que no funcione como esperaba. #frustracion,199,229,67,frustrante funcione esperar frustracion
160,@usuario160,2025-02-24,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",140,131,74,experiencia maravilloso satisfecho satisfaccion
161,@usuario161,2025-07-10,"Un producto realmente bueno, supero mis expectativas. #alegria",170,256,30,producto realmente bueno supero expectativa alegrio
162,@usuario162,2025-12-29,No puedo creer lo mal que funciona esto. #colera,176,30,43,poder creer mal función colera
163,@usuario163,2025-12-09,No puedo creer lo mal que funciona esto. #colera,55,221,11,poder creer mal función colera
164,@usuario164,2025-09-07,"Un producto realmente bueno, supero mis expectativas. #alegria",100,295,43,producto realmente bueno supero expectativa alegrio
165,@usuario165,2025-07-01,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",38,33,15,experiencia maravilloso satisfecho satisfaccion
166,@usuario166,2025-01-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",84,133,1,experiencia maravilloso satisfecho satisfaccion
167,@usuario167,2025-11-10,"Un producto realmente bueno, supero mis expectativas. #alegria",14,402,29,producto realmente bueno supero expectativa alegrio
168,@usuario168,2025-05-01,"No volvere a comprar aqui, muy decepcionado. #decepcion",25,500,61,volverir comprar aqui decepcionado decepcion
169,@usuario169,2025-04-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",14,498,10,volverir comprar aqui decepcionado decepcion
170,@usuario170,2025-02-08,"Esto es increible, estoy extasiado! #extasis",92,312,75,increible extasiado extasis
171,@usuario171,2025-08-13,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",68,248,22,experiencia maravilloso satisfecho satisfaccion
172,@usuario172,2025-02-25,"No volvere a comprar aqui, muy decepcionado. #decepcion",160,227,27,volverir comprar aqui decepcionado decepcion
173,@usuario173,2025-10-10,"Esto es increible, estoy extasiado! #extasis",119,162,39,increible extasiado extasis
174,@usuario174,2025-07-29,No puedo creer lo mal que funciona esto. #colera,10,285,39,poder creer mal función colera
175,@usuario175,2025-03-11,Es frustrante que no funcione como esperaba. #frustracion,70,185,2,frustrante funcione esperar frustracion
176,@usuario176,2025-03-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",148,404,72,servicio excelente satisfecho satisfaccion
177,@usuario177,2025-12-26,"Un producto realmente bueno, supero mis expectativas. #alegria",56,48,33,producto realmente bueno supero expectativa alegrio
178,@usuario178,2025-09-20,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",189,158,29,experiencia maravilloso satisfecho satisfaccion
179,@usuario179,2025-10-06,"Un producto realmente bueno, supero mis expectativas. #alegria",60,275,81,producto realmente bueno supero expectativa alegrio
180,@usuario180,2025-05-07,"Esto es increible, estoy extasiado! #extasis",79,2,94,increible extasiado extasis
181,@usuario181,2025-08-07,No puedo creer lo mal que funciona esto. #colera,104,224,64,poder creer mal función colera
182,@usuario182,2025-11-11,"Esto es increible, estoy extasiado! #extasis",68,390,83,increible extasiado extasis
183,@usuario183,2025-05-22,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",56,156,34,experiencia maravilloso satisfecho satisfaccion
184,@usuario184,2025-09-23,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",84,171,47,servicio excelente satisfecho satisfaccion
185,@usuario185,2025-01-13,Es frustrante que no funcione como esperaba. #frustracion,154,392,0,frustrante funcione esperar frustracion
186,@usuario186,2025-05-05,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",127,174,6,experiencia maravilloso satisfecho satisfaccion
187,@usuario187,2025-06-09,No puedo creer lo mal que funciona esto. #colera,119,389,45,poder creer mal función colera
188,@usuario188,2025-12-28,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",68,451,94,servicio excelente satisfecho satisfaccion
189,@usuario189,2025-04-18,No puedo creer lo mal que funciona esto. #colera,131,388,77,poder creer mal función colera
190,@usuario190,2025-01-18,Estoy muy feliz con este producto! #alegria,198,69,13,feliz producto alegrio
191,@usuario191,2025-09-12,"No volvere a comprar aqui, muy decepcionado. #decepcion",28,371,80,volverir comprar aqui decepcionado decepcion
192,@usuario192,2025-12-07,"No volvere a comprar aqui, muy decepcionado. #decepcion",54,364,93,volverir comprar aqui decepcionado decepcion
193,@usuario193,2025-08-14,No puedo creer lo mal que funciona esto. #colera,27,409,27,poder creer mal función colera
194,@usuario194,2025-10-31,Estoy muy feliz con este producto! #alegria,113,97,61,feliz producto alegrio
195,@usuario195,2025-04-20,"Un producto realmente bueno, supero mis expectativas. #alegria",198,137,98,producto realmente bueno supero expectativa alegrio
196,@usuario196,2025-10-06,Me siento decepcionado con la calidad. #decepcion,36,148,12,sentir decepcionado calidad decepcion
197,@usuario197,2025-04-26,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",108,292,87,experiencia maravilloso satisfecho satisfaccion
198,@usuario198,2025-03-14,"No volvere a comprar aqui, muy decepcionado. #decepcion",189,130,18,volverir comprar aqui decepcionado decepcion
199,@usuario199,2025-12-02,"No volvere a comprar aqui, muy decepcionado. #decepcion",121,303,46,volverir comprar aqui decepcionado decepcion
200,@usuario200,2025-09-14,"Un producto realmente bueno, supero mis expectativas. #alegria",135,336,0,producto realmente bueno supero expectativa alegrio
201,@usuario201,2025-12-14,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",171,27,73,servicio excelente satisfecho satisfaccion
202,@usuario202,2025-12-19,Es frustrante que no funcione como esperaba. #frustracion,134,253,78,frustrante funcione esperar frustracion
203,@usuario203,2025-06-10,El peor servicio que he recibido. #colera,85,424,98,peor servicio recibido colera
204,@usuario204,2025-03-09,No puedo creer lo mal que funciona esto. #colera,62,17,89,poder creer mal función colera
205,@usuario205,2025-08-18,"No volvere a comprar aqui, muy decepcionado. #decepcion",56,195,73,volverir comprar aqui decepcionado decepcion
206,@usuario206,2025-11-22,"Un producto realmente bueno, supero mis expectativas. #alegria",144,491,60,producto realmente bueno supero expectativa alegrio
207,@usuario207,2025-09-30,"Esto es increible, estoy extasiado! #extasis",39,170,58,increible extasiado extasis
208,@usuario208,2025-11-12,"No volvere a comprar aqui, muy decepcionado. #decepcion",192,469,68,volverir comprar aqui decepcionado decepcion
209,@usuario209,2025-06-12,El peor servicio que he recibido. #colera,195,148,93,peor servicio recibido colera
210,@usuario210,2025-10-30,Estoy muy feliz con este producto! #alegria,49,292,28,feliz producto alegrio
211,@usuario211,2025-08-24,El peor servicio que he recibido. #colera,14,37,29,peor servicio recibido colera
212,@usuario212,2025-02-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",160,474,93,servicio excelente satisfecho satisfaccion
213,@usuario213,2025-03-13,"No volvere a comprar aqui, muy decepcionado. #decepcion",185,423,71,volverir comprar aqui decepcionado decepcion
214,@usuario214,2025-02-21,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",80,117,52,experiencia maravilloso satisfecho satisfaccion
215,@usuario215,2025-03-03,El peor servicio que he recibido. #colera,95,81,31,peor servicio recibido colera
216,@usuario216,2025-07-07,"Un producto realmente bueno, supero mis expectativas. #alegria",107,192,75,producto realmente bueno supero expectativa alegrio
217,@usuario217,2025-04-23,El peor servicio que he recibido. #colera,45,22,11,peor servicio recibido colera
218,@usuario218,2025-01-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",133,497,79,experiencia maravilloso satisfecho satisfaccion
219,@usuario219,2025-04-18,Es frustrante que no funcione como esperaba. #frustracion,55,392,2,frustrante funcione esperar frustracion
220,@usuario220,2025-09-12,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",148,221,0,experiencia maravilloso satisfecho satisfaccion
221,@usuario221,2025-04-26,Me siento decepcionado con la calidad. #decepcion,176,410,97,sentir decepcionado calidad decepcion
222,@usuario222,2025-01-27,El peor servicio que he recibido. #colera,136,191,47,peor servicio recibido colera
223,@usuario223,2025-01-23,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",199,107,73,experiencia maravilloso satisfecho satisfaccion
224,@usuario224,2025-10-23,Estoy muy feliz con este producto! #alegria,125,475,53,feliz producto alegrio
225,@usuario225,2025-01-21,"Esto es increible, estoy extasiado! #extasis",182,281,67,increible extasiado extasis
226,@usuario226,2025-06-19,Me siento decepcionado con la calidad. #decepcion,134,55,26,sentir decepcionado calidad decepcion
227,@usuario227,2025-07-10,Me siento decepcionado con la calidad. #decepcion,188,45,18,sentir decepcionado calidad decepcion
228,@usuario228,2025-01-03,Estoy muy feliz con este producto! #alegria,16,368,22,feliz producto alegrio
229,@usuario229,2025-10-14,"Esto es increible, estoy extasiado! #extasis",157,243,56,increible extasiado extasis
