id,usuario,fecha,contenido,likes,comentarios,Texto_Procesado
83,usuario83,2025-07-06,"Esto es increible, estoy extasiado! #extasis",795,111,increible extasiado extasis
84,usuario84,2025-09-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",295,97,experiencia maravilloso satisfecho satisfaccion
85,usuario85,2025-12-20,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",980,115,servicio excelente satisfecho satisfaccion
86,usuario86,2025-08-02,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",188,40,servicio excelente satisfecho satisfaccion
87,usuario87,2025-07-17,Es frustrante que no funcione como esperaba. #frustracion,743,131,frustrante funcione esperar frustracion
88,usuario88,2025-12-12,Me siento decepcionado con la calidad. #decepcion,295,170,sentir decepcionado calidad decepcion
89,usuario89,2025-02-27,"Un producto realmente bueno, supero mis expectativas. #alegria",845,69,producto realmente bueno supero expectativa alegrio
90,usuario90,2025-01-28,"Esto es increible, estoy extasiado! #extasis",750,192,increible extasiado extasis
91,usuario91,2025-04-19,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",45,37,servicio excelente satisfecho satisfaccion
92,usuario92,2025-03-26,"Esto es increible, estoy extasiado! #extasis",672,183,increible extasiado extasis
93,usuario93,2025-08-02,Me siento decepcionado con la calidad. #decepcion,96,127,sentir decepcionado calidad decepcion
94,usuario94,2025-10-15,No puedo creer lo mal que funciona esto. #colera,903,7,poder creer mal función colera
95,usuario95,2025-04-14,"Un producto realmente bueno, supero mis expectativas. #alegria",842,132,producto realmente bueno supero expectativa alegrio
96,usuario96,2025-03-01,Estoy muy feliz con este producto! #alegria,391,40,feliz producto alegrio
97,usuario97,2025-10-29,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",267,135,servicio excelente satisfecho satisfaccion
98,usuario98,2025-11-12,"Esto es increible, estoy extasiado! #extasis",363,25,increible extasiado extasis
99,usuario99,2025-05-23,"No volvere a comprar aqui, muy decepcionado. #decepcion",526,22,volverir comprar aqui decepcionado decepcion
100,usuario100,2025-08-14,"No volvere a comprar aqui, muy decepcionado. #decepcion",224,134,volverir comprar aqui decepcionado decepcion
101,usuario101,2025-10-16,Estoy muy feliz con este producto! #alegria,9,75,feliz producto alegrio
102,usuario102,2025-04-01,El peor servicio que he recibido. #colera,293,164,peor servicio recibido colera
103,usuario103,2025-06-30,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",884,97,experiencia maravilloso satisfecho satisfaccion
104,usuario104,2025-06-01,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",297,178,servicio excelente satisfecho satisfaccion
105,usuario105,2025-10-12,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",810,194,servicio excelente satisfecho satisfaccion
106,usuario106,2025-12-15,"No volvere a comprar aqui, muy decepcionado. #decepcion",799,165,volverir comprar aqui decepcionado decepcion
107,usuario107,2025-09-24,"No volvere a comprar aqui, muy decepcionado. #decepcion",239,20,volverir comprar aqui decepcionado decepcion
108,usuario108,2025-05-13,"Un producto realmente bueno, supero mis expectativas. #alegria",728,41,producto realmente bueno supero expectativa alegrio
109,usuario109,2025-02-19,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",235,141,servicio excelente satisfecho satisfaccion
110,usuario110,2025-09-25,No puedo creer lo mal que funciona esto. #colera,546,98,poder creer mal función colera
111,usuario111,2025-04-16,No puedo creer lo mal que funciona esto. #colera,631,70,poder creer mal función colera
112,usuario112,2025-12-07,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",804,165,servicio excelente satisfecho satisfaccion
113,usuario113,2025-08-27,"Un producto realmente bueno, supero mis expectativas. #alegria",552,39,producto realmente bueno supero expectativa alegrio
114,usuario114,2025-03-18,Me siento decepcionado con la calidad. #decepcion,196,57,sentir decepcionado calidad decepcion
115,usuario115,2025-04-20,Estoy muy feliz con este producto! #alegria,0,117,feliz producto alegrio
116,usuario116,2025-07-14,"Esto es increible, estoy extasiado! #extasis",862,191,increible extasiado extasis
117,usuario117,2025-10-16,"No volvere a comprar aqui, muy decepcionado. #decepcion",728,97,volverir comprar aqui decepcionado decepcion
118,usuario118,2025-07-25,"No volvere a comprar aqui, muy decepcionado. #decepcion",939,51,volverir comprar aqui decepcionado decepcion
119,usuario119,2025-04-06,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",652,129,experiencia maravilloso satisfecho satisfaccion
120,usuario120,2025-02-19,Me siento decepcionado con la calidad. #decepcion,966,140,sentir decepcionado calidad decepcion
121,usuario121,2025-09-28,Es frustrante que no funcione como esperaba. #frustracion,786,156,frustrante funcione esperar frustracion
122,usuario122,2025-11-14,Estoy muy feliz con este producto! #alegria,210,58,feliz producto alegrio
123,usuario123,2025-02-22,No puedo creer lo mal que funciona esto. #colera,355,125,poder creer mal función colera
124,usuario124,2025-06-14,No puedo creer lo mal que funciona esto. #colera,169,36,poder creer mal función colera
125,usuario125,2025-10-23,"Esto es increible, estoy extasiado! #extasis",974,133,increible extasiado extasis
126,usuario126,2025-09-06,No puedo creer lo mal que funciona esto. #colera,87,103,poder creer mal función colera
127,usuario127,2025-04-20,Es frustrante que no funcione como esperaba. #frustracion,786,177,frustrante funcione esperar frustracion
128,usuario128,2025-04-14,"Esto es increible, estoy extasiado! #extasis",671,40,increible extasiado extasis
129,usuario129,2025-05-25,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",772,129,experiencia maravilloso satisfecho satisfaccion
130,usuario130,2025-08-04,Me siento decepcionado con la calidad. #decepcion,797,2,sentir decepcionado calidad decepcion
131,usuario131,2025-11-21,"No volvere a comprar aqui, muy decepcionado. #decepcion",346,156,volverir comprar aqui decepcionado decepcion
132,usuario132,2025-10-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",966,58,experiencia maravilloso satisfecho satisfaccion
133,usuario133,2025-04-11,"Un producto realmente bueno, supero mis expectativas. #alegria",323,142,producto realmente bueno supero expectativa alegrio
134,usuario134,2025-03-21,Es frustrante que no funcione como esperaba. #frustracion,238,22,frustrante funcione esperar frustracion
135,usuario135,2025-01-06,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",37,1,servicio excelente satisfecho satisfaccion
136,usuario136,2025-02-25,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",339,50,experiencia maravilloso satisfecho satisfaccion
137,usuario137,2025-04-29,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",606,1,servicio excelente satisfecho satisfaccion
138,usuario138,2025-05-08,Me siento decepcionado con la calidad. #decepcion,953,168,sentir decepcionado calidad decepcion
139,usuario139,2025-02-16,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",269,47,experiencia maravilloso satisfecho satisfaccion
140,usuario140,2025-08-09,Me siento decepcionado con la calidad. #decepcion,182,98,sentir decepcionado calidad decepcion
141,usuario141,2025-04-25,Me siento decepcionado con la calidad. #decepcion,386,188,sentir decepcionado calidad decepcion
142,usuario142,2025-05-04,"Esto es increible, estoy extasiado! #extasis",657,63,increible extasiado extasis
143,usuario143,2025-03-10,"No volvere a comprar aqui, muy decepcionado. #decepcion",229,29,volverir comprar aqui decepcionado decepcion
144,usuario144,2025-12-16,Estoy muy feliz con este producto! #alegria,603,42,feliz producto alegrio
145,usuario145,2025-01-07,El peor servicio que he recibido. #colera,870,125,peor servicio recibido colera
146,usuario146,2025-03-30,El peor servicio que he recibido. #colera,27,183,peor servicio recibido colera
147,usuario147,2025-08-16,El peor servicio que he recibido. #colera,324,189,peor servicio recibido colera
148,usuario148,2025-05-17,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",567,58,servicio excelente satisfecho satisfaccion
149,usuario149,2025-02-01,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",794,158,experiencia maravilloso satisfecho satisfaccion
150,usuario150,2025-06-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",665,134,experiencia maravilloso satisfecho satisfaccion
151,usuario151,2025-05-16,Me siento decepcionado con la calidad. #decepcion,479,31,sentir decepcionado calidad decepcion
152,usuario152,2025-04-29,Estoy muy feliz con este producto! #alegria,887,54,feliz producto alegrio
153,usuario153,2025-10-13,Me siento decepcionado con la calidad. #decepcion,687,94,sentir decepcionado calidad decepcion
154,usuario154,2025-12-18,Estoy muy feliz con este producto! #alegria,326,199,feliz producto alegrio
155,usuario155,2025-09-23,"Un producto realmente bueno, supero mis expectativas. #alegria",875,41,producto realmente bueno supero expectativa alegrio
156,usuario156,2025-04-01,No puedo creer lo mal que funciona esto. #colera,649,96,poder creer mal función colera
157,usuario157,2025-06-10,El peor servicio que he recibido. #colera,940,56,peor servicio recibido colera
158,usuario158,2025-12-26,El peor servicio que he recibido. #colera,334,55,peor servicio recibido colera
159,usuario159,2025-03-09,Me siento decepcionado con la calidad. #decepcion,172,76,sentir decepcionado calidad decepcion
160,usuario160,2025-05-20,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",906,111,experiencia maravilloso satisfecho satisfaccion
161,usuario161,2025-11-25,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",764,133,experiencia maravilloso satisfecho satisfaccion
162,usuario162,2025-06-09,"Esto es increible, estoy extasiado! #extasis",292,35,increible extasiado extasis
163,usuario163,2025-02-10,Me siento decepcionado con la calidad. #decepcion,468,115,sentir decepcionado calidad decepcion
164,usuario164,2025-11-11,Es frustrante que no funcione como esperaba. #frustracion,459,49,frustrante funcione esperar frustracion
165,usuario165,2025-07-05,"Esto es increible, estoy extasiado! #extasis",872,190,increible extasiado extasis
166,usuario166,2025-02-27,Estoy muy feliz con este producto! #alegria,401,26,feliz producto alegrio
167,usuario167,2025-05-12,No puedo creer lo mal que funciona esto. #colera,392,103,poder creer mal función colera
168,usuario168,2025-08-28,Me siento decepcionado con la calidad. #decepcion,453,167,sentir decepcionado calidad decepcion
169,usuario169,2025-12-31,"Un producto realmente bueno, supero mis expectativas. #alegria",40,123,producto realmente bueno supero expectativa alegrio
170,usuario170,2025-12-11,"Esto es increible, estoy extasiado! #extasis",365,19,increible extasiado extasis
171,usuario171,2025-07-11,"Un producto realmente bueno, supero mis expectativas. #alegria",195,106,producto realmente bueno supero expectativa alegrio
172,usuario172,2025-03-02,"Un producto realmente bueno, supero mis expectativas. #alegria",290,98,producto realmente bueno supero expectativa alegrio
173,usuario173,2025-09-24,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",608,89,experiencia maravilloso satisfecho satisfaccion
174,usuario174,2025-11-21,Estoy muy feliz con este producto! #alegria,742,62,feliz producto alegrio
175,usuario175,2025-06-23,"Esto es increible, estoy extasiado! #extasis",808,52,increible extasiado extasis
176,usuario176,2025-09-20,Me siento decepcionado con la calidad. #decepcion,422,186,sentir decepcionado calidad decepcion
177,usuario177,2025-10-26,El peor servicio que he recibido. #colera,523,165,peor servicio recibido colera
178,usuario178,2025-12-09,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",394,25,servicio excelente satisfecho satisfaccion
179,usuario179,2025-04-14,"No volvere a comprar aqui, muy decepcionado. #decepcion",237,199,volverir comprar aqui decepcionado decepcion
180,usuario180,2025-08-18,Estoy muy feliz con este producto! #alegria,808,65,feliz producto alegrio
181,usuario181,2025-09-02,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",216,57,servicio excelente satisfecho satisfaccion
182,usuario182,2025-12-29,El peor servicio que he recibido. #colera,178,62,peor servicio recibido colera
183,usuario183,2025-10-28,No puedo creer lo mal que funciona esto. #colera,684,172,poder creer mal función colera
184,usuario184,2025-01-14,Es frustrante que no funcione como esperaba. #frustracion,198,22,frustrante funcione esperar frustracion
185,usuario185,2025-04-13,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",902,70,servicio excelente satisfecho satisfaccion
186,usuario186,2025-07-16,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",503,152,experiencia maravilloso satisfecho satisfaccion
187,usuario187,2025-07-03,El peor servicio que he recibido. #colera,900,66,peor servicio recibido colera
188,usuario188,2025-11-30,Estoy muy feliz con este producto! #alegria,822,68,feliz producto alegrio
189,usuario189,2025-07-31,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",209,13,experiencia maravilloso satisfecho satisfaccion
190,usuario190,2025-10-27,"Un producto realmente bueno, supero mis expectativas. #alegria",531,7,producto realmente bueno supero expectativa alegrio
191,usuario191,2025-06-29,Estoy muy feliz con este producto! #alegria,820,147,feliz producto alegrio
192,usuario192,2025-07-21,Estoy muy feliz con este producto! #alegria,46,90,feliz producto alegrio
193,usuario193,2025-10-24,Estoy muy feliz con este producto! #alegria,855,8,feliz producto alegrio
194,usuario194,2025-07-18,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",287,56,servicio excelente satisfecho satisfaccion
195,usuario195,2025-02-27,Me siento decepcionado con la calidad. #decepcion,239,122,sentir decepcionado calidad decepcion
196,usuario196,2025-10-21,El peor servicio que he recibido. #colera,73,131,peor servicio recibido colera
197,usuario197,2025-01-07,"Un producto realmente bueno, supero mis expectativas. #alegria",176,29,producto realmente bueno supero expectativa alegrio
198,usuario198,2025-08-18,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",421,100,experiencia maravilloso satisfecho satisfaccion
199,usuario199,2025-06-27,Me siento decepcionado con la calidad. #decepcion,111,159,sentir decepcionado calidad decepcion
200,usuario200,2025-07-29,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",703,100,experiencia maravilloso satisfecho satisfaccion
201,usuario201,2025-05-03,El peor servicio que he recibido. #colera,658,163,peor servicio recibido colera
202,usuario202,2025-09-05,El peor servicio que he recibido. #colera,912,128,peor servicio recibido colera
203,usuario203,2025-07-01,Estoy muy feliz con este producto! #alegria,270,19,feliz producto alegrio
204,usuario204,2025-03-14,No puedo creer lo mal que funciona esto. #colera,96,171,poder creer mal función colera
205,usuario205,2025-06-09,"Un producto realmente bueno, supero mis expectativas. #alegria",435,70,producto realmente bueno supero expectativa alegrio
206,usuario206,2025-02-22,Es frustrante que no funcione como esperaba. #frustracion,45,169,frustrante funcione esperar frustracion
207,usuario207,2025-09-08,"Esto es increible, estoy extasiado! #extasis",930,167,increible extasiado extasis
208,usuario208,2025-05-02,Estoy muy feliz con este producto! #alegria,131,14,feliz producto alegrio
209,usuario209,2025-05-08,"No volvere a comprar aqui, muy decepcionado. #decepcion",372,29,volverir comprar aqui decepcionado decepcion
210,usuario210,2025-01-29,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",959,108,servicio excelente satisfecho satisfaccion
211,usuario211,2025-03-03,"No volvere a comprar aqui, muy decepcionado. #decepcion",761,129,volverir comprar aqui decepcionado decepcion
212,usuario212,2025-06-27,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",15,35,experiencia maravilloso satisfecho satisfaccion
213,usuario213,2025-04-11,Estoy muy feliz con este producto! #alegria,492,161,feliz producto alegrio
214,usuario214,2025-05-28,No puedo creer lo mal que funciona esto. #colera,638,173,poder creer mal función colera
215,usuario215,2025-12-03,Me siento decepcionado con la calidad. #decepcion,227,40,sentir decepcionado calidad decepcion
216,usuario216,2025-01-28,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",220,115,experiencia maravilloso satisfecho satisfaccion
217,usuario217,2025-07-26,El peor servicio que he recibido. #colera,838,194,peor servicio recibido colera
218,usuario218,2025-10-03,"No volvere a comprar aqui, muy decepcionado. #decepcion",33,8,volverir comprar aqui decepcionado decepcion
219,usuario219,2025-02-11,"Un producto realmente bueno, supero mis expectativas. #alegria",267,108,producto realmente bueno supero expectativa alegrio
220,usuario220,2025-04-23,No puedo creer lo mal que funciona esto. #colera,5,177,poder creer mal función colera
221,usuario221,2025-04-21,"Esto es increible, estoy extasiado! #extasis",253,117,increible extasiado extasis
222,usuario222,2025-09-13,"Este servicio es excelente, estoy muy satisfecho. #satisfaccion",752,147,servicio excelente satisfecho satisfaccion
223,usuario223,2025-10-10,"Esto es increible, estoy extasiado! #extasis",867,35,increible extasiado extasis
224,usuario224,2025-01-05,Me siento decepcionado con la calidad. #decepcion,33,76,sentir decepcionado calidad decepcion
225,usuario225,2025-05-26,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",385,90,experiencia maravilloso satisfecho satisfaccion
226,usuario226,2025-01-01,"Un producto realmente bueno, supero mis expectativas. #alegria",94,33,producto realmente bueno supero expectativa alegrio
227,usuario227,2025-10-22,Me siento decepcionado con la calidad. #decepcion,159,17,sentir decepcionado calidad decepcion
228,usuario228,2025-08-11,"Esto es increible, estoy extasiado! #extasis",600,25,increible extasiado extasis
229,usuario229,2025-11-18,El peor servicio que he recibido. #colera,643,3,peor servicio recibido colera
230,usuario230,2025-03-26,No puedo creer lo mal que funciona esto. #colera,597,96,poder creer mal función colera
231,usuario231,2025-04-16,No puedo creer lo mal que funciona esto. #colera,667,159,poder creer mal función colera
232,usuario232,2025-04-19,"Esto es increible, estoy extasiado! #extasis",590,186,increible extasiado extasis
233,usuario233,2025-08-18,Es frustrante que no funcione como esperaba. #frustracion,240,100,frustrante funcione esperar frustracion
234,usuario234,2025-07-26,Es frustrante que no funcione como esperaba. #frustracion,628,17,frustrante funcione esperar frustracion
235,usuario235,2025-04-07,Me siento decepcionado con la calidad. #decepcion,827,148,sentir decepcionado calidad decepcion
236,usuario236,2025-06-22,Es frustrante que no funcione como esperaba. #frustracion,346,6,frustrante funcione esperar frustracion
237,usuario237,2025-10-08,Me siento decepcionado con la calidad. #decepcion,352,187,sentir decepcionado calidad decepcion
238,usuario238,2025-02-06,"No volvere a comprar aqui, muy decepcionado. #decepcion",771,181,volverir comprar aqui decepcionado decepcion
239,usuario239,2025-03-13,Es frustrante que no funcione como esperaba. #frustracion,768,184,frustrante funcione esperar frustracion
240,usuario240,2025-08-28,"Esto es increible, estoy extasiado! #extasis",958,93,increible extasiado extasis
241,usuario241,2025-02-21,"No volvere a comprar aqui, muy decepcionado. #decepcion",494,197,volverir comprar aqui decepcionado decepcion
242,usuario242,2025-11-14,Estoy muy feliz con este producto! #alegria,248,44,feliz producto alegrio
243,usuario243,2025-03-24,"Una experiencia maravillosa, muy satisfecho. #satisfaccion",127,7,experiencia maravilloso satisfecho satisfaccion
244,usuario244,2025-03-20,"Un producto realmente bueno, supero mis expectativas. #alegria",845,81,producto realmente bueno supero expectativa alegrio
245,usuario245,2025-03-15,Estoy muy feliz con este producto! #alegria,280,110,feliz producto alegrio
246,usuario246,2025-03-23,No puedo creer lo mal que funciona esto. #colera,414,195,poder creer mal función colera
